Tweet	Labels
Covid19 lockdown situation is like our own 'existential crisis' hanging over our heads.. PMKcallsCurfewExtension	4 5 9
I cant believe the new reality that were living in. WH projects more than 100k Coronavirus deaths. SocialDistancing saves lives.	4 6
yall ever just like yell coronavirus like cardi b LMFAOOOOO	10
"last time i was here, i was sick of this shit im back wit coronavirus"	5 6
So its April fools day and Im waiting for someone to say that all this corona shit is fake so we can all go back to our normal lives	0 5
God lemme wake up tomorrow and this corona virus should be April fools	2 10
What if the government was to come out today and say APRIL FOOLS!! THE CORONAVIRUS IS FAKE!!	0 3 10
oomf stop talking about your bachelors trip when the covid19 is happening challenge: failed.	5 10
"i wanna go to a pride festival with someon,e hmu if interested (obviously after corona)"	0
Pakistani are human bombs what the difference whether they die with corona or by doing jihad	3 6
I demand Indian government to give minority status to coronavirus with immediate effect.	0 4 6
"Yeah, corona is not the end of the world. Things will get better It will be alright"	0
"On a positive note, we had a 6.5 magnitude earthquake in Idaho to take our minds off the Corona Virus"	0 10
"Happy new month, Covid19 will come to an end this month in Jesus name amen COVID19 AprilFoolsDay"	0 2 10
Swedish state epidemiologist: Majority of covid-19 infections are from persons without symptoms	8
"In the last hour, it is estimated that 141 people tweeted that they have been laid off. CoronaVirus COVID19"	5 8 9
Anxiety was my roommate since 5th standard and now it is fuccking sitting on my head all day 24/7 coronavirus	4 6
Top 5 Trending Hashtags on Twitter in the World 1. COVID19 2. coronavirus 3. stayhome 4. COVID19 5. lockdown	8 9
Yes. Eat 1kg of chili per day to burn the corona inside of you.	10
Temples are donating money and mosques are spreading Corona virus. This is the difference between Hinduism and Islam.	6 9
if corona doesnt send out a tweet tomorrow saying april fools everything can go back to normal i will lose it.	0 3 6
Coronavirus All things are because There are reactions of many people. No response means no value. So it was worth it. that is all	3 6
LMFAO TUH E CORONAVIRUS MESSING UP EVERYBODY MORALS!	10
The talk of economy over life sounds so familiar. And is still not thought to the end. corona climate pollution	6 9
So Trump says 100k deaths from the coronavirus is a win wtf is really going on?!	6 7
the government better announce the corona virus is fake on april 1st	0 10
"jaejoong seriously said he was hospitalized w covid19 AS AN APRIL FOOLS JOKE?? fuk him. no seriously, how is that funny.. ugh."	6
Duh. But the fact that Wuhan was locked down was sign enough that COVID19 was deadly damn serious.	4 9
we literally hugged 4 days ago madame. also id catch corona for you	2 10
might fuck around and get my nose pierced after the coronavirus chills out	0 9 10
"BreakingNews Coronavirus death toll in US reaches 4,000 via"	8
"Just like coronavirus, if we wait until thousands are dying to address global warming itll be way to late."	3 4
"1 new recoveries in Uzbekistan totaling 8 in this place. Already 178,135 worldwide. coronavirus covid19 Uzbekistan"	8
that kim jae joong is so cancelled Y'all can joke BUT PLEASE NOT CORONA	6
"Health Ministry: 112 new cases of coronavirus in past 24 hours, total 855 KUNA KUWAIT (M.T)"	8
Coronavirus catching these hands if we cant all eat crawfish and enjoy the fam bam	0 10
Fuck China! Evil LIARS commies news coronavirus kungflu cnn msnbc chinesevirus America	6
"Death toll so far; Corona Virus 1, Police Brutality 3."	3 6 8
"I get yall are bored due to corona and yada yada, but do you have to be so damn miserable? Like let people be happy."	3 6 9
"Almost death today not because of the corona virus but bcs i forcing my self, what a dumb."	10
"Hes checking to see if 200,000 is more than Genghis Khan killed right now. coronavirus COVID19 TrumpLegacy"	5 10
i really hope this coronavirus and quarantine mess was just the governments april fools joke of 2020.	5 10
Horrible wants corona to be diverted to kafir countries.this is the hidden mindset .rarely exposed on video	5 7
Likh ke lelo. After 15 Shaban the Vaccine of Corona will come out. ArrivalOfImamMahdi	0 9
ICYMI Trump was one of the first morons to call coronavirus the flu.	5 6
"hasta covid19 gikuhaan gihimong covid14. hmmm well, what can we expect?"	3 5 6
"Once this corona virus passes, expect to see a lot of your own friends join pyramid schemes."	0 10
Yall really think this corona virus out here came out of nowhere.. damn gov trying to kill off population	6 7
I'm sure one of my useless friends will call me ant tell me they have corona today	4 10
More testing kits more cases duh. And less Casulaties. coronavirus TheLockdown Coronavirustruth	3 5
"Corona Virus is scaring me, how can a virus move so fast it was just in China 3 weeks ago"	4
I knew a guy like this existed in my thoughts and prayers but low key never thought Id get one unless he gives me corona then nvm	5 10
This is the kind of presidential message we need USA pandemic COVID19 ImWithHer	0 1
"Why amidst this whole COVID19 pandemic, crisis, are countries rolling out 5G? Signing bill's into law? We need to focus."	3 6 7
so many bills so little money :) thanks COVID19 I hope you get fucked in the ass with a cactus	6
"If today we could split America in half, who side U want to be on in our coronavirus crisis?"	4 6 10
Nobody knows Coronavirus better than me.	9 10
Maaaaan. The pen is flowin. I been knocking out ALOT of features. I should just release somn new. newmusic Quarantine COVID19 hiphop	0 3 8
"so who is calling off corona for aprils fools day ?? the gag is up, lets move on now."	0 10
"American Revolution 2 will not be fought with muskets, but with microscopes. COVID19 coronavirus StayAtHome"	6 7 9
You guys should've connected the dots by now and known Ozzy Osbourne is the cause of this Corona Virus pandemic. Patient Zero.	7 10
Yall all such good mathematicians why yall so scared of coronavirus but regularly text and drive	0 6
After this covid19 is under control..... I'll bet that ties in with pulmonary hypertension.	3 4
gov. estimates 100-240k US deaths from corona virus and were only at 4k. yippee	3 8 10
"In 15 years, kids are gonna be captioning their 19th birthday pics 19-my corona year!"	10
"This coronavirus needs to end quickly, Im going insane staying inside my house"	6
Health CS Mutahi Kagwe expected to brief Kenyans on COVID19 anytime from 3.30pm.	8 9
Fuck this covid19 bs its running all these wonderful things I wanted to plan for my bff bday coming up like its so aggravating	5 6
"one day COVID19 will do a mistake and evolve, which makes it easy to detect the symptoms and easier to contain it."	0 9
corona said fuck your hot girl summer its high girl quarantine	5 10
"PSA: Dont ask delivery drivers to make special birthday wishes to your order. Come on, people. coronavirus servers"	6 10
Jesus fucking Christ. Please let coronavirus wipe us off the face of this planet.	3 6
Tomorrow is the day where millions will contract the Coronavirus for no reason and tell their friends online. AprilFoolsDay	6 10
my unt professors are always the most understanding and accommodating i just really appreciate that in these crazy corona times	0 1
BREAKING US coronavirus deaths set one-day record at 865	8
Confirmed with covid19 isnt a shame. It's a global pandemic that can affected anyone. Stay safe and dont forget to wash ur hand	0 4 9
"BREAKING: Number of people who tested positive for Corona in Israel: 5,591 - 97 in serious condition. 21 have died so far"	8
"Growing at a rate of 1000 people dead per by the end of April there will be 30,000 people dead in the US. COVID19 coronavirus"	3 8 9
"It would have been nice if coronavirus gave me a heads up on this, I could have gotten my boobs done and being paid while sitting at home"	10
"ibuprofen probably doesn't worsen corona virus symptoms, many who are corona virus positive don't take ibuprofen."	0 8 9
"BREAKING SouthKorea reports 101 more cases of new coronavirus, total now at 9,887. Death toll rises by 3 to 165."	8
"Unless a celebrity is donating some serious money to fighting coronavirus, I dont give a F*CK what theyre doing."	6
DO NOT make a Coronavirus April Fools joke tomorrow. Please.	2 3 5
What will happen to rail companies if people are not using them? How long can they keep running near empty trains? COVID19 AfterIsolation	3 4 5
Essential reading. This thread has good advice for all of us lka srilanka COVID19SL covid19	0 8
"Recored 40,000+ Deaths around the world COVID19 StayHome"	0 3 8
"...yknow, the coronavirus has some spectacular ratings, almost as good as ours... ArtOfThePossible"	0 10
Bro did yall hear lil baby say coronavirus? That shit hilarious	10
"The first person I hear say Coronavirus is over......April Fools! tmo, is gonna get a punch in the throat."	6
Trump is making the media watch their own fake reporting on COVID19. CNN just cut away from it. Beast Mode Trump from 2016 is back!	5 7
was gonna my break my record for the amount of traveling in one year this year but corona said :	5 10
What if the corona is our karma for breaking all those chain messages back in middle school/highschool	0 10
I just seen on ig niggas had a fuck corona bbq in NY ppl really just dont care about this whole thing	6
I feel like... Trump's coronavirus briefings are like when someone gives a book report about a book they didn't actually read.	6 10
"Twitter made you think black people cant get coronavirus, now were dying at disproportionate numbers."	3 5
HAHAHA EVEN GOT BANNED for saying corona wouldn't run from an onision interview	6 10
"life stranded me in Stockholm until Corona passes, and wow, Ive got to get my circadian clock on board. day25 EasternTime"	0 5 6
i lost my lil part time check to corona today. im sad. imma miss that job	5
"the way everyone was making magwinya, i wouldve been sold if someone said they cure corona because wow hey"	10
No Corona April Fools Jokes today please. It can land you in serious trouble.	6 9
So yall think the government gon come out today and say APRIL FOOOLLLSSSSSS or nah? COVID19	9 10
Well done for getting the sleeves rolled up and helping out with the COVID19 crisis	0 1
Hoping things get better over the next few months with this global crisis. coronavirus	0
Nothing will happen...now they are in mood to beg to all terrorists to stop spreading coronavirus...	4 6
Those who visited PhoenixMall from March 10 to 17 Request you to talk to corona help line and get screened.	4 9
"In this time of fear, let love, faith and hope make us through. coronavirus"	0
I didnt want to go n then corona arrived. Problem solved	0 3 10
hey corona if youre reading this i just wanted to let you know that you a dumb bitch	6 10
"Indian Media : Corona Jihad, corona muslim hai. Corone be like : Am i a Joke to u"	8 10
Feel like i am getting information overload from this Corona virus thing.	6 9 10
"Starting a pool on which celeb is going to be first to call their kid Covid, Corona, Quarantina, or Kwarantina?"	10
This Corona Shit Better Be Long Gone By The Time August Get Here All In Saying	0 10
Over/Under on the number of people that will be cancelled because of a corona April fools joke tomorrow?	6 10
cardi bs coronavirus vid is the most unfunniest and jarring thing on socials rn. Sorry not sorry x	6
the corona has made my online shopping addiction 10x worse	10
There's no bigger fuck up than Trump USAid PPE GlovesAndMasks CoronaVirus COVID19 Ventilators	6
Mass production of ventilators to help! COVID19 coronavirus COVID19 CoronavirusUSA	0 1 9
i pray tomorrow they be like were glad to announce corona... APRIL FOOLS. we just wanted to see how many of yall would listen!	2 10
I heard Construction of US-Mexico border wall proceeds despite coronavirus pandemic	3 6 9
Corona has it on pause right now...but when it starts turning again....girl I got you	10
Besides this coronavirus i have to say 2020 is still being good to me.. swiveling thru all this BS to make it happen!	0
If my mother sends me more corona virus bullshit Im gunna lose it	4 6
Those who were making Gau Mutra jokes on Corona and ignoring its scientific value are telling people not to communalize Corona :)	6 9 10
Patiently waiting for the government to say April Fools on this COVID-19 AprilFoolsDay COVID19	0 10
Finally!! They found a way to blame Muslims for coronavirus spread in India YehToHonaHiTha	7 10
Hope so this will remain first and last case of corona positive in Ranchi	0 2
Corona fear is second guessing going upstairs to tell the neighbors to be quiet.	5 10
"1 new confirmed case(s) in Zambia totaling 36 in this place. Already 856,900 worldwide. coronavirus covid19 Zambia"	5 8
The cool thing about getting the coronavirus test is we all get to be amateur PinHeads for the dark carnival...	10
If you got your haircut a couple days before the corona reached WV youre a lucky man	10
Trump was the leader and major author of a lot of people believing coronavirus was the flu.	0 6 7
Epicentre of Coronavirus India found: Nizamuddin Markaz More appropriate to call it marghat NizamuddinMarkaz CoronavirusOutbreakindia	0 6 9
I feel like I just got Corona by entering this grocery store. That was a weird experience.	4
What is this Rona thing. That bitch does not deserve a cute lil nickname. Its Covid-19 or Corona Virus. Fuck that bitch.	6
"Peter Navarro told Trump the coronavirus would kill 500,000 Americans back January."	4 6 9
"deserve, i thought we agreed not to make any coronavirus related april fools jokes jaejoongisoverparty"	5 6
Someone asked for happy songs for the Covid19 outbreak - I thought Time to say goodbye but no one voted for it	3 10
Can someone tell me corona virus is an april fools prank from china. Am tired. Happy new month tho	5
Lots of stories about ppl not tipping delivery drivers. I wish a motherfvcker would. Catch coronavirus or catch these hands.	6
"Chris Cuomo is my new hero....doing a tv show with coronavirus, looking like crap...."	0 9 10
somehow it began due to corona virus. Please continue nationwide ban on liquor cigarettes forever. HealthyIndia	0 9
bruh i just saw a video of a clown yelling at medical workers bc he couldn't see coronavirus patients lol what	10
"Father-of-three, 50, who made full recovery from coronavirus dies of a heart attack days after release"	5 8
please please please stop talking about Trump and making Coronavirus political. Im sick of your hatred.	6
"Since The Corona Virus Happening , Each Person Who Comment Imma Send Yall $20 (Cashapp Paypal)"	0 10
Just because I'm not active doesn't mean I have coronavirus I feel fine im following the government order like everyone else should	0 9
"Dear soccer, I really miss you ,please come back already :( Also dear corona , Frick u for ruining everything"	5 6
PR-ime minister donated PPE to Serbia. So the new COVID-19 hospitals are in Serbia. Great! Covid_19 ModiMadeDisaster	1 9 10
Im wondering... how are people getting their weed during corona. Any major changes? Business gone up? COVID19 passthedutchie	9 10
DrAnbumani says that There's medicine for Covid19. That's Social Distancing only and nothing else. PMKcallsCurfewExtension	0 4 8
Poor Florida. Prepare Gov. DeSantis will own the many CoronavirusUSA DeSantis	3 4
"Covid19 Florida continues to escalate. It has the 5th highest number of cases and added over 1,000 today."	5 8
I then heard mfs tell me the stupidest shit a cure corona	6 10
If New York was a country it would rank 5th in Corona virus cases across the world crazy af	3 4
why didn't you publish daily updates on Corona cases in Mumbai yesterday?	6 9
people so scared of this coronavirus i can prolly rob a mf at cough point	0 10
"With Republicans wary of more coronavirus spending, Trump urges infrastructure plan US RTGNews"	8
"Its taco Tuesday! They lit, A corona a day keeps the coronavirus away!"	10
Fuck Corona now I won't be able to see my work in the art exhibit	3 5 6
"When in Crisis, start a war.... En wat horen we overal in de wereld? The war on Coronavirus...."	0 3 9
The goal in 2020 is for the Coronavirus to get Yolanda Saldivar before she gets paroled in 2025 AnythingForSelenas	3 6 10
"don't say anything but the Corona viruse might bring the best out of Mankind, we're not bad people..."	0
One of my biggest fears is that Ruth Bader Ginsburg will get ill from coronavirus ..... stay more than 6 feet away from her!	4
"This wouldnt happen if their Mayor, Joy Belmonte is doing her job properly and fairly. COVID19"	4 6
"If having the flu feels like youre dying, coronavirus must be literal hell"	4
This corona shit really has made this plce a hell hole like deadass	6
In this new day and age how would the crime of tickling someone be classified? Coronavirius COVID19	10
"i did not sign up for online classes because i know i cant handle it, this is not right corona"	3 5
"is this Feasible, could we create glasses that could be used to detect the Coronavirus virus?"	9
It's April 1 and I wish we can help ourselves and keep out COVID19 from all the jokes. Someone's life might depend on it.	0 5 6 10
O God please help us from this devil called corona virus	2 4
A glass of wine keeps the corona away en ese departamento estamos set	9 10
The only way to effectively stop corona is for EVERYTHING to shut down for 30 days. Change my mind	0 1 4
"Have they given Corona yet, because I am looking forward to the day we shall all wear pins and t-shirts etc with I survived Corona on them"	0 10
"Doctors, healthcare professionals are 'warriors', have to be protected: Supreme Court tells Centre. COVID19"	1 8
Delhi: A doctor working at a Delhi government hospital has tested positive for COVID19.	8
cancer season is RIGHT AROUND THE CORNER dude if corona messes up my hot girl cancer season ....	5 10
Let's not forget that the majority of our imported COVID-19 cases were from the US	6 9
lol all med school motivational statements are gonna be about how they wish they could help out during the corona pandemic	0 3 10
Yall needa chill out wih this corona shii imma have to start wipin ma ahh with leaves Nd shii	6 10
"Ive signed this petition calling on the Government to deliver a coronavirus wage subsidy, will you?"	0 9
Coronavirus hotspots in Uttar Pradesh to be sealed till April 15 COVID19	0 8
Anyone who makes a Corona virus prank tomorrow will absolutely lose all of my respect. someones going to do it though wont they	5 6
"CORONAVIRUS:11 test positive for coronavirus in Kashmir, tally now 136. All were tested positive today at SKIMS Srinagar Kashmir FLASH"	0 8
Having been fortunate enough to have lived in SriLanka I can tell you their health medical system is fantastic! coronavirus	0 1
"When road free again, gotta wait 3 weeks to pawty so the corona residue blow off so I knw it really safe"	0 3 10
If yall think about it well be in the coming history books talking about this Black Plague called the Corona Virus.	3 9 10
Best April Fool's joke ever. Trump saying he'd fix Corona Virus by Easter.	6 10
Lets all drink a bottle of bleach guys so we can show corona whos boss	0 10
New York cannnnnot afford a hospital being burnt down right now with all the corona cases	4 5
I hope I am wrong but I think this Coronavirus shit is going to last at least 6 Months	3
you suck! Not helpful not showing Trump the coronavirus updates! You are the Communist News Network!	6
Its unfortunate that we are still parsing hours later. COVID19 TXLege LeadershipMatters	3 5
Wouldnt it be mad if theyre was a sequel to 5 feet apart called 6 feet apart about corona virus COVID19 coronavirus	9 10
honestly Im only cooking at home now cause of corona but this wife lifestyle low key aint it......jk just not the cooking Lmao	5 10
We are indians and this is required as no one listens to central orders in Coronavirus! Not a misconduct plz	6 9
and me are gonna create Coronavirus Diss Part 2.	0 6 10
u cant catch corona at night the virus cells r asleep	10
I wonder if Corona Virus would be such an issue if it only killed poor. It's now how many its killing. It's how well off they are.	3 9
i thought we all agreed nga no corona virus jokes ta uy.... distasteful	5 6 10
Never thought the grocery store would gross me out so much COVID19	4 6
So heart breaking any way you see it Prayers to all the families affected by the COVID19.	2 5
just a psa that if you think making an april fools joke that coronavirus has been cured is funny you're going to hell carry on :)	6 10
Anyone else hoping we all wake up and someone yells APRIL FOOLS AprilFools COVID19	0 10
My sleep paralysis demon just called me and said he knows how to stop Corona virus	0 10
Let's all of us gather in Mandirs today. Corona ke chakkar mai ashtmi chorde!? DurgaAshtami	4 6 9
I really spent 13 hours STRAIGHT on a beat today what in the Corona..	3 9 10
"Corona Virus summary... Likes: Hollywood celebs, Politicians, isolated prisons. Dislikes: Anyone you know."	7 10
corona gud job to all NGO's RSS state cm Nd special thanks to indianprimeminister sir (modi ji)	1 9
West Bengal Death Toll raise to 6; after death of 2 more COVID19 positive patients: Health Official	8
"Gotta remember. Everything is impermanent. Dharma COVID19, Trump, Trey from Phish forgetting Fee lyrics. You dig, man?"	0 6
This show is doing the best at holding government to account for thier approach to Covid-19 GMB COVID19 covid19UK	0 1
Let satanic forces flee from the regions of SILVIA PATRICIA and familia! - James 4.7 coronavirus	0 2 4
Stay safe Americaand StayTheFuckHome - I want to come and visit you guys again soon! coronavirus covid19	0 2
corona virus really delaying me moving with my husband...(weve been waiting for this since july) i miss him so damn much	5
Is Kim gonna shoot every individual with covid19 to protect his nation?	4 6 10
In a few minutes all the world's leaders are gonna bust the door down and give the epic reveal that Coronavirus was just a prank bro.	3 10
my autocorrect better stop playing with me. the whole world is talking about corona and you keep trynna change the word covid to vivid	6 10
turns out this was just a big april fools joke and corona is not actually real!!!!! right.... :(	4 5
corona got yall going crazy in the head fr. i am convinced.	6 10
Lets not deal with the idiocy of the world...we'll use COVID19 as an excuse to isolate...together	0 6
I almost hat Corona beer as much as coronavirus! I do like limes though.	5 6 9
"I regret leaving home after 16 days of self-quarantine... Yo guys, we need to make it at least 20 days now, am told! COVID19"	0 4 6
Coronavirus was created by schools to stop april fools day pranks	10
Cant wait for tomorrow cause then we can april fools this corona virus away. you have to self isolate until May 8th - April Fools	3 10
"How many I have Coronavirus.....sike, April Fools! jokes are going to be said tomorrow?"	6 9
"After watching your Coronavirus video, I can no longer read that word without saying it in your voice and tone"	10
How much Corona Test done in India? 18 tests per 1 Lakh..	6 9
"the corona virus proves that Free healthcare isnt a good idea, the Gov is bleeding trying to keep everyone healthy"	1 10
Corona koi khel nehi musibat hai . please follow rules to avoid corona virus save your own life .	0 4
Ever stop to think we havent even seen the worst of the corona virus	0 3
Shi when corona end likabih will be ready whateva we make we followin w a music video on me	10
i wanted to go to new orleans or cali for my birthday but what if corona still here	4 5
love how the jail doesnt have a time limit since this corona virus I miss my bestfriend	3 5
Nobody: Trinidad: 85 cases of Corona Me: Why I still in this country baii.....	4 5
My colleague on the need for change to regulations around vaccines. COVID19 health law	0 3 5
I really sick of thos corona shit so many lives taken families hurting	5
"Lol, GOOOO GO NOW!!!! Cayman Island Corona stats...confirmed 14 deceased 1!"	3 10
"Nothing good ever happens, going out of the house... StayAtHome RestezChezVous COVID19"	3 10
Every damn company has put out their coronavirus commercial this week and fuck every last one of them	6
What we are NOT going to do is use the coronavirus as an April fools joke. *cough jaejoong cough*	10
"For the sixteenth consecutive day, the government has refused to answer one very simple question about coronavirus"	6 10
Its been Tuesday for 4 whole mins and I aint seen no one set of titties on my TL...... coronavirus smh	5 10
Spring Break + Spring Training + Snow Birds = COVID19 Soup	0 10
Look upto sky and say thanks to god ur alive yet think about those who lost their lives coz of corona	0 2
Dr Fauci said is gonna a whole lot body bags in the coming weeks.Corona or no coroner	3 4 8
God please forgive us all and make April the month in which Corona cure is found LockDownWithBlackLove	0 2
Can't wait to see someone's April Fools joke that they tested positive for Coronavirus. You know it's going to happen at some point today.	3 6 10
losingmymind Coronavirus pix increasingly look like out-of-season corn in bbq sauce.	3 10
Corona billions ti wo gbo.. Cash out season	0 7 9
"would you trust a coronavirus contacts app, tracking your movement, from the UK government? Newsnight"	4 7 8
One good thing about the quarantine: I can now have fresh hot pasta for lunch. COVID19 yum	0 10
10 new deaths reported in L.A. County today. 548 new cases. COVID19	8
"Drive in voting? Okay, Joe actually HAS lost it. coronavirus driveinvoting"	5 9
people that find the cardi b coronavirus audio funny kiss their dads woth tongue	6 10
Prayers goes out to New York City .. even my city this corona killling a lot of ppls loved ones	2 5 6
"US coronavirus deaths pass 4,000: news agency AFP quoting Johns Hopkins University. CoronavirusUpdate CoronavirusPandemic"	8
"BREAKING Turkish military aircraft carrying medical aid departs for Italy and Spain, countries worst hit by novel coronavirus in Europe."	8
Me laughing at people who fooling others on April fool without knowing that we all already fooled by Corona	10
Its heart wrenching watching christcuomo tonight fuckcotonavirus COVID19 CoronavirusPandemicUSA	5
Thank you and G42! An impressive feat! Coronavirus diagnostics are ramped up in the UAE	1
May April be full of heavenly surprises and not make a fool of us like these other Corona months. Inshallah Happy new month!	0 6
madam my cc limit ac have Dibated ragular intarest due to corona sutdown my ac no PNB 1424008700001225	3 5 9
"Oh hey everyone, calm down! Dr Diamond and Dr Silk say Covid19 is no big deal!"	0 6 9 10
My grandma thinks by just going outside to breath the air will give her corona so she wants a mask to just go outside	4 6 9 10
I am sorry but someone from elementary school is sliding into my DMs right now Corona has got everyone doing crazy stuff right now	0 10
"Yo hear me out, what if this whole corona virus was just an elaborate April fools joke from the government? Like props to to them"	0 7 10
This is for Corona you big fat sick long infecting ass bitch why you cancel all my motherfucking plans	6
I need to get to planning this festival I got planned for BR once this corona shit is over	5 6
The only way I could believe ChrisCuomo got infected with the Coronavirus is if he actually dies from it! I don't believe in FakeNews!	3 7 9
Waiting for Coronavirus to say April fools! and let us go back to our daily lives	0 10
Well I'm officially miserable with the layoffs due to Trump dropping the ball with coronavirus	5 6
Corona has no Religion nor is connected with politics. Let us fight it as Indians.	0
"3 new death(s) confirmed in S. Korea totaling 165 in this place. Already 42,149 worldwide. coronavirus covid19 S.Korea"	3 8
If the coronavirus came before kobe Bryant and Pop Smoke dies they wouldve never passed away	5 10
Soon as this corona shit over Im finna go get a bbl	0 4
Watch this and don't make it religious topic. Corona will be defeated with collective effort.	0 1
Some girls who slut-shame the most appeared to be some undercover hoes. Thanks to Corona for letting us find out!	6 10
"My dad asked me if I die from Corona virus, as my dying wish please go back to being Jehovahs Witness and I flat out said fuck no."	10
corona go away before april 29 so reveluvs can go watch trolls koream ver in the theaters	6 10
Okay so Daniels little sister told me that she is turning 4 again since the corona virus cancelled her birthday this year	10
the media is on my road filming...bc one of the bus driver's passed away from corona	5 8
OBO there is one deadly virus called hunger go finish me before corona help me make I buy food 2007218893 zenith bank davido	5 6 10
"C'mon, you can use the money you inherit from your parents when they die from coronavirus."	10
Everybody saying when the Coronavirus is ova they out ... stop lying yall still gonna be inside like nun even happened	3 10
"Coronavirus cases in Pakistan cross 2,000. Confirmed cases stand at 2,039 with 26 Fatalities. CoronaVirusPakistan COVID"	8
Those who were farcical on GauMutra found communalizing corona COVID19outbreak CoronaJihad NizamuddinMarkaz	4 6 9
obviously has a nose job but yall not ready to talk about that. coronavirus	6 9
"apparently a corona virus symptom is having no taste, thoughts go out to all STRAY KIDS antis at this time."	2 6 9
I think that Illegal border crossings and lawful travel drop amid coronavirus restrictions	0 3 9
People like this scare me more than catching Coronavirus. Whatever medicine she is on needs doubling.	3 4
Waiting to hear from dear PM of India that No *CORONA VIRUS* in India it's April Fool AprilFoolsDay coronavirusindia	0 2 10
"joking about the Coronavirus is sick, joking about sending corona beer when loved ones are dying is so wrong"	6 10
Coronavirus has reached Chicago Cook County Jail as 1 officer and 2 detainees test positive for covid-19	8
me and my siblings have been lab rats for our moms home remedy experiments since corona started and im tired.. at this point im hiding	4 10
NJ woman's Facebook post helps spark movement to feed health workers on coronavirus front lines	1 10
Uncle Ed is back bitches!!! Am I the only one who has ate raw chicken and watched over watch porn during this long break? COVID19	4 10
One great way to avoid getting corona is to have a minimum of exercise implemented meanwhile being at home. AmericaWorksTogether	0
April is a good day if you say the corona virus is just a prank PM Modi Speak indian People Jolly fight for corona	0 10
people discussing drink recipes to fight corona ....the whatsapp moms came out of them	3 10
I really have to cough but I dont want them to think I have corona so Im holding it in - anthem of 2020	10
If corona happened last year I probably would have failed most of my classes senior year lol	10
Oh Jin meant corona Virus and the nth room thing	3 9 10
COVID19 IS NOT SOMETHING THAT CAN USE AS A JOKEEEE OK AKU MARAH NI MARAHHH	6 10
Really praying for everyone that has been laid off due to the Coronavirus. Trusting God for you and with you.	2
How someone can be anti-vax and still hyper vigilant over corona is actually kind of an awesome level of cognitive dissonance	6 7
Delhi: A doctor working at a Delhi government hospital has tested positive for COVID19.	8 9
"But tbh this year before all this corona happened, I feel like has been the best season of the nba since Derrick Rose was on the Bulls."	0 10
CAN THE WORLD JUST SAY THE WHOLE CORONA THING WAS A JOKE NOW FFS IT'S APRIL'S FOOL ALREADY	3 10
I got big cough but not Corona cough. This sucks throat hurted I can't talk :)	4 5 6
Waiting for the gov to say that Corona is an April fools joke and everything going back to normal tomorrow	0 10
I have to admit that I can't take you COVID19 scaremongers seriously when you keep spelling it Marshal Law. literacy	10
My assumption is we can survive the worst phase of Covid_19 by April 14. These final 14 days are crucial.	0
spirit was dreaming and i woke her up with my vomiting so whatever corona is in my body really needs to Leave now	4 6 10
Ig said These Landlords Dont GAF about CORONA .... RENT or TENT Bitch	6 10
Coronavirus outlook grim. COVID19 lifestyle will last several years. Hard times coming.	3 5
My nieces school started today on virtual mode. Shes in Nursery. GO AWAY CORONA.	5
COVID19 cases rise to 141 in Haryana after 11 more people test positive: Health Department. coronavirus	8
Also you know whats really fun? Figuring out funeral logistics for COVID19 victims.	10
"As of March 31, 2020, the total number of people infected with the COVID-19 coronavirus in Iran is 44606 the number of deaths is 2898."	8
I wish Covid19 was an ill-timed Aprils Fool joke too bad it is not.	5 10
"500 ni few, shey o sure pe corona never blow to your brain bayii?"	3 10
"Sir, is there any new case reported today on corona. It seems tat 2 reported positive which is circulating over whatsup."	4 5 9
I feel like Trump is doing a great job. Especially when it comes to the Coronavirus. AprilFoolsDay April1st AprilFools	0 10
This rain dey like wetin fit wash Coronavirus away rain CONVID19	0 2 5
NYC tune into at 8:10am as I talk to about the State's latest coronavirus response efforts.	8 9
"losing all my damn gym gains cus of this corona virus, boutta shoot up some steroids"	5 6
Someone better say April fools tomorrow corona virus isnt real	0 10
my boyfriend and i are listening food places to hit up once this corona epidemic is over wewanttoeatout	0 5
I rather get the corona virus than lag out mid game on the show..	3 10
My thoughts and prayers with get well soon. Your show on keeps me awake till 2am Nigeria time. COVID19	2 5
"Covid19: I will take your weak, old and young. I came for blood. US: We have blood to spare."	3 6 10
I feel like using COVID-19 instead of coronavirus is like drinking Sunny D instead of purple stuff. COVIDIOT	10
Oh dear God this Jon Bon Jovi song about the Corona Virus is worse than the actual virus itself.	5 6 10
I WAS ABOUT TO SAY THAT PPL SHOULDNT HATE MOOSE SO MUCH CUZ HES BEEN NICE ON MY ISLAND BUT HE FUCKING GAVE ME CORONAVIRUS WTF MOOSE	6 10
T1: Covid_19 is serving as a catalyst for telemedicine in nephrology hcldr	0 8 9
With so much going on - when one needs to reboot mentally. Listen to COVID19	0 3
500000 flu deaths per year and so far 42200 corona death Hmmm???	4 5 7
An old teacher of mine in the city is ill with coronavirus. Its frightening. Do you know anyone with the virus?	4 9 10
"Haha, ok Corona, you got us, its April 1st, jokes over now. Please go away, thank you."	10
this is upsetting .. They really wanted to do concert and see armys. Thats bitch corona better be gone by this month	4 6
"Good morning Kenya, as we try to fight the Corona Virus problems, let's talk about the DigitalHealthCareKE"	4 7 9
Resistance BoycottHobbyLobby By reopening their stores Hobby Lobby is spreading Covid-19.	6
I jus saw a onlyfans corona sale.... bihh you didnt start until this corona shit hit your whole page a sale	10
